id,source_id,name,brand,category,category_slug,description,price_usd,price_vnd,discount_percentage,rating,review_count,stock,sku,availability,product_url,image_url,image_path,source
24,24,Fish Steak,Khác,Thực phẩm,groceries,"Quality fish steak, suitable for grilling, baking, or pan-searing.",14.99,370000,4.23,3.78,3,74,GRO-BRD-FIS-024,In Stock,https://dummyjson.com/products/24,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp,data/catalog/images/product_024.webp,DummyJSON Products API
25,25,Green Bell Pepper,Khác,Thực phẩm,groceries,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",1.29,30000,0.16,3.25,3,33,GRO-BRD-GRE-025,In Stock,https://dummyjson.com/products/25,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp,data/catalog/images/product_025.webp,DummyJSON Products API
26,26,Green Chili Pepper,Khác,Thực phẩm,groceries,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",0.99,20000,1.0,3.66,3,3,GRO-BRD-GRE-026,Low Stock,https://dummyjson.com/products/26,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp,data/catalog/images/product_026.webp,DummyJSON Products API
27,27,Honey Jar,Khác,Thực phẩm,groceries,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",6.99,170000,14.4,3.97,3,34,GRO-BRD-HON-027,In Stock,https://dummyjson.com/products/27,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,data/catalog/images/product_027.webp,DummyJSON Products API
28,28,Ice Cream,Khác,Thực phẩm,groceries,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",5.49,140000,8.69,3.39,3,27,GRO-BRD-CRE-028,In Stock,https://dummyjson.com/products/28,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp,data/catalog/images/product_028.webp,DummyJSON Products API
29,29,Juice,Khác,Thực phẩm,groceries,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.99,100000,12.06,3.94,3,50,GRO-BRD-JUI-029,In Stock,https://dummyjson.com/products/29,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp,data/catalog/images/product_029.webp,DummyJSON Products API
30,30,Kiwi,Khác,Thực phẩm,groceries,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",2.49,60000,15.22,4.93,3,99,GRO-BRD-KIW-030,In Stock,https://dummyjson.com/products/30,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp,data/catalog/images/product_030.webp,DummyJSON Products API
31,31,Lemon,Khác,Thực phẩm,groceries,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",0.79,20000,9.7,3.53,3,31,GRO-BRD-LEM-031,In Stock,https://dummyjson.com/products/31,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp,data/catalog/images/product_031.webp,DummyJSON Products API
32,32,Milk,Khác,Thực phẩm,groceries,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",3.49,90000,13.74,2.61,3,27,GRO-BRD-MIL-032,In Stock,https://dummyjson.com/products/32,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp,data/catalog/images/product_032.webp,DummyJSON Products API
33,33,Mulberry,Khác,Thực phẩm,groceries,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",4.99,120000,12.87,4.95,3,99,GRO-BRD-MUL-033,In Stock,https://dummyjson.com/products/33,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp,data/catalog/images/product_033.webp,DummyJSON Products API
34,34,Nescafe Coffee,Khác,Thực phẩm,groceries,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",7.99,200000,1.59,4.82,3,57,GRO-BRD-NES-034,In Stock,https://dummyjson.com/products/34,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp,data/catalog/images/product_034.webp,DummyJSON Products API
35,35,Potatoes,Khác,Thực phẩm,groceries,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",2.29,60000,5.38,4.81,3,13,GRO-BRD-POT-035,In Stock,https://dummyjson.com/products/35,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp,data/catalog/images/product_035.webp,DummyJSON Products API
36,36,Protein Powder,Khác,Thực phẩm,groceries,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",19.99,500000,7.59,4.18,3,80,GRO-BRD-PRO-036,In Stock,https://dummyjson.com/products/36,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp,data/catalog/images/product_036.webp,DummyJSON Products API
37,37,Red Onions,Khác,Thực phẩm,groceries,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",1.99,50000,9.9,4.2,3,82,GRO-BRD-ONI-037,In Stock,https://dummyjson.com/products/37,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp,data/catalog/images/product_037.webp,DummyJSON Products API
38,38,Rice,Khác,Thực phẩm,groceries,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",5.99,150000,9.29,3.18,3,59,GRO-BRD-RIC-038,In Stock,https://dummyjson.com/products/38,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp,data/catalog/images/product_038.webp,DummyJSON Products API
39,39,Soft Drinks,Khác,Thực phẩm,groceries,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",1.99,50000,17.48,4.75,3,53,GRO-BRD-SOF-039,In Stock,https://dummyjson.com/products/39,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp,data/catalog/images/product_039.webp,DummyJSON Products API
40,40,Strawberry,Khác,Thực phẩm,groceries,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",3.99,100000,1.12,3.08,3,46,GRO-BRD-STR-040,In Stock,https://dummyjson.com/products/40,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp,data/catalog/images/product_040.webp,DummyJSON Products API
41,41,Tissue Paper Box,Khác,Thực phẩm,groceries,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",2.49,60000,13.28,2.69,3,86,GRO-BRD-TIS-041,In Stock,https://dummyjson.com/products/41,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp,data/catalog/images/product_041.webp,DummyJSON Products API
42,42,Water,Khác,Thực phẩm,groceries,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",0.99,20000,14.92,4.96,3,53,GRO-BRD-WAT-042,In Stock,https://dummyjson.com/products/42,https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp,data/catalog/images/product_042.webp,DummyJSON Products API
43,43,Decoration Swing,Khác,Trang trí nhà,home-decoration,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",59.99,1500000,10.41,3.16,3,47,HOM-BRD-DEC-043,In Stock,https://dummyjson.com/products/43,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp,data/catalog/images/product_043.webp,DummyJSON Products API
44,44,Family Tree Photo Frame,Khác,Trang trí nhà,home-decoration,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",29.99,750000,14.87,4.53,3,77,HOM-BRD-FAM-044,In Stock,https://dummyjson.com/products/44,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp,data/catalog/images/product_044.webp,DummyJSON Products API
45,45,House Showpiece Plant,Khác,Trang trí nhà,home-decoration,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,39.99,1000000,7.46,4.67,3,28,HOM-BRD-HOU-045,In Stock,https://dummyjson.com/products/45,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp,data/catalog/images/product_045.webp,DummyJSON Products API
46,46,Plant Pot,Khác,Trang trí nhà,home-decoration,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",14.99,370000,6.84,3.01,3,59,HOM-BRD-PLA-046,In Stock,https://dummyjson.com/products/46,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp,data/catalog/images/product_046.webp,DummyJSON Products API
47,47,Table Lamp,Khác,Trang trí nhà,home-decoration,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",49.99,1250000,7.09,3.55,3,9,HOM-BRD-TAB-047,In Stock,https://dummyjson.com/products/47,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp,data/catalog/images/product_047.webp,DummyJSON Products API
48,48,Bamboo Spatula,Khác,Đồ dùng bếp,kitchen-accessories,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",7.99,200000,2.84,3.27,3,37,KIT-BRD-BAM-048,In Stock,https://dummyjson.com/products/48,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp,data/catalog/images/product_048.webp,DummyJSON Products API
49,49,Black Aluminium Cup,Khác,Đồ dùng bếp,kitchen-accessories,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,5.99,150000,15.65,4.46,3,75,KIT-BRD-BLA-049,In Stock,https://dummyjson.com/products/49,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp,data/catalog/images/product_049.webp,DummyJSON Products API
50,50,Black Whisk,Khác,Đồ dùng bếp,kitchen-accessories,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,9.99,250000,10.24,3.9,3,73,KIT-BRD-BLA-050,In Stock,https://dummyjson.com/products/50,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp,data/catalog/images/product_050.webp,DummyJSON Products API
51,51,Boxed Blender,Khác,Đồ dùng bếp,kitchen-accessories,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",39.99,1000000,7.26,4.56,3,9,KIT-BRD-BOX-051,In Stock,https://dummyjson.com/products/51,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp,data/catalog/images/product_051.webp,DummyJSON Products API
52,52,Carbon Steel Wok,Khác,Đồ dùng bếp,kitchen-accessories,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",29.99,750000,6.53,4.05,3,40,KIT-BRD-CAR-052,In Stock,https://dummyjson.com/products/52,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp,data/catalog/images/product_052.webp,DummyJSON Products API
53,53,Chopping Board,Khác,Đồ dùng bếp,kitchen-accessories,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",12.99,320000,8.03,3.7,3,14,KIT-BRD-CHO-053,In Stock,https://dummyjson.com/products/53,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp,data/catalog/images/product_053.webp,DummyJSON Products API
54,54,Citrus Squeezer Yellow,Khác,Đồ dùng bếp,kitchen-accessories,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,8.99,220000,12.1,4.63,3,22,KIT-BRD-CIT-054,In Stock,https://dummyjson.com/products/54,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp,data/catalog/images/product_054.webp,DummyJSON Products API
55,55,Egg Slicer,Khác,Đồ dùng bếp,kitchen-accessories,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",6.99,170000,14.76,3.09,3,40,KIT-BRD-SLI-055,In Stock,https://dummyjson.com/products/55,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp,data/catalog/images/product_055.webp,DummyJSON Products API
56,56,Electric Stove,Khác,Đồ dùng bếp,kitchen-accessories,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,49.99,1250000,14.04,4.11,3,21,KIT-BRD-ELE-056,In Stock,https://dummyjson.com/products/56,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp,data/catalog/images/product_056.webp,DummyJSON Products API
57,57,Fine Mesh Strainer,Khác,Đồ dùng bếp,kitchen-accessories,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,9.99,250000,3.5,3.04,3,85,KIT-BRD-FIN-057,In Stock,https://dummyjson.com/products/57,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp,data/catalog/images/product_057.webp,DummyJSON Products API
58,58,Fork,Khác,Đồ dùng bếp,kitchen-accessories,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,3.99,100000,8.07,3.11,3,7,KIT-BRD-FOR-058,In Stock,https://dummyjson.com/products/58,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp,data/catalog/images/product_058.webp,DummyJSON Products API
59,59,Glass,Khác,Đồ dùng bếp,kitchen-accessories,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,4.99,120000,7.92,4.02,3,46,KIT-BRD-GLA-059,In Stock,https://dummyjson.com/products/59,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp,data/catalog/images/product_059.webp,DummyJSON Products API
60,60,Grater Black,Khác,Đồ dùng bếp,kitchen-accessories,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",10.99,270000,3.56,3.21,3,84,KIT-BRD-GRA-060,In Stock,https://dummyjson.com/products/60,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp,data/catalog/images/product_060.webp,DummyJSON Products API
61,61,Hand Blender,Khác,Đồ dùng bếp,kitchen-accessories,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",34.99,870000,17.02,3.86,3,84,KIT-BRD-HAN-061,In Stock,https://dummyjson.com/products/61,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp,data/catalog/images/product_061.webp,DummyJSON Products API
62,62,Ice Cube Tray,Khác,Đồ dùng bếp,kitchen-accessories,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,5.99,150000,0.63,4.71,3,13,KIT-BRD-CUB-062,In Stock,https://dummyjson.com/products/62,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp,data/catalog/images/product_062.webp,DummyJSON Products API
63,63,Kitchen Sieve,Khác,Đồ dùng bếp,kitchen-accessories,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,7.99,200000,18.91,3.09,3,68,KIT-BRD-KIT-063,In Stock,https://dummyjson.com/products/63,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp,data/catalog/images/product_063.webp,DummyJSON Products API
64,64,Knife,Khác,Đồ dùng bếp,kitchen-accessories,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",14.99,370000,18.86,3.26,3,7,KIT-BRD-KNI-064,Low Stock,https://dummyjson.com/products/64,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp,data/catalog/images/product_064.webp,DummyJSON Products API
65,65,Lunch Box,Khác,Đồ dùng bếp,kitchen-accessories,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",12.99,320000,10.34,4.93,3,94,KIT-BRD-LUN-065,In Stock,https://dummyjson.com/products/65,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp,data/catalog/images/product_065.webp,DummyJSON Products API
66,66,Microwave Oven,Khác,Đồ dùng bếp,kitchen-accessories,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",89.99,2250000,12.13,4.82,3,59,KIT-BRD-MIC-066,In Stock,https://dummyjson.com/products/66,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp,data/catalog/images/product_066.webp,DummyJSON Products API
67,67,Mug Tree Stand,Khác,Đồ dùng bếp,kitchen-accessories,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,15.99,400000,9.25,2.64,3,88,KIT-BRD-TRE-067,In Stock,https://dummyjson.com/products/67,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp,data/catalog/images/product_067.webp,DummyJSON Products API
68,68,Pan,Khác,Đồ dùng bếp,kitchen-accessories,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",24.99,620000,3.0,2.79,3,90,KIT-BRD-PRD-068,In Stock,https://dummyjson.com/products/68,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp,data/catalog/images/product_068.webp,DummyJSON Products API
69,69,Plate,Khác,Đồ dùng bếp,kitchen-accessories,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,3.99,100000,7.31,3.65,3,66,KIT-BRD-PLA-069,In Stock,https://dummyjson.com/products/69,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp,data/catalog/images/product_069.webp,DummyJSON Products API
70,70,Red Tongs,Khác,Đồ dùng bếp,kitchen-accessories,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,6.99,170000,14.52,4.42,3,82,KIT-BRD-TON-070,In Stock,https://dummyjson.com/products/70,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp,data/catalog/images/product_070.webp,DummyJSON Products API
